Tissue,Hispidin,Alsophilin,Piceatannol,Resveratrol
Le-1,1097524,2000311,5895978,N.D.
Le-2,1029939,2228727,6447389,N.D.
Le-3,1138230,2837829,6069816,N.D.
Ph-1,13248840,N.D.,5673694,N.D.
Ph-2,12739999,N.D.,6192939,N.D.
Ph-3,10995634,N.D.,5017719,N.D.
Pi-1,3702845,N.D.,1852341,N.D.
Pi-2,5090835,N.D.,2247120,N.D.
Pi-3,5043277,N.D.,2436996,N.D.
Sb-1,38587633,21204797,18556261,N.D.
Sb-2,32623876,23234068,19120918,N.D.
Sb-3,38285364,20229107,18319052,N.D.
Xy-1,1351566758,497289894,4279550819,99520411
Xy-2,1324450808,567588858,5281587624,92444758
Xy-3,1292412478,490814134,4010913971,89269472
