Gene,Le1-1,Le1-2,Le1-3,Pi-1,Pi-2,Pi-3,Sb-1,Sb-2,Sb-3,Xy-1,Xy-2,Xy-3,Ph-1,Ph-2,Ph-3
Aspi01Gene31274,0,0,0,0,0,0,0,0,0,0.864253709,0.639542096,0.657350601,0,0,0.184536363
Aspi01Gene18434,0.106782441,0.188854729,0.027902753,1.444323374,0.775475099,1.286816269,0.218012151,0.34166419,0.408448129,39.32660464,35.51533929,35.70346382,4.365783722,5.214875559,3.153636159
Aspi01Gene70517,2.433922739,2.190069772,2.510508267,0.774175137,1.079143475,0.882128467,0.373625064,0.149045927,0.18845901,5.563624165,4.478677896,5.458565062,1.214469052,1.288001638,1.048821514
Aspi01Gene67246,0.130679382,0.077039568,0.15366211,1.84276473,1.954979946,1.64978427,0.62888876,0.437131242,0.538305509,28.72313064,31.78307132,34.20869115,4.549128734,4.46734218,4.27972107
Aspi01Gene61994,15.9257991,13.98418753,13.91710072,140.1791016,137.422421,132.8258284,18.05777597,17.01086308,12.46652476,3246.509444,3103.601819,2966.050673,716.0749112,720.9088282,717.8299995
Aspi01Gene30160,0.236088096,0.259805073,0.164509138,0.996488402,0.640086798,0.704490006,0.477418215,0.329626606,0.259337053,10.45688025,9.43601326,10.17628198,1.175077898,1.446864937,1.141365864
Aspi01Gene33381,51.07280939,49.3370874,52.91649722,867.6790399,782.2634889,739.1439652,464.3155703,487.411443,376.1879776,1961.998641,1979.454502,1924.029588,455.766892,458.1846298,473.0838535
Aspi01Gene18435,0.15648621,0.276760492,0.163562323,0.390296722,0.575793051,0.47893018,0.243420761,0.121381287,0.092087309,7.929165087,5.994395862,7.705347093,0.741787212,1.048933708,0.732127001
Aspi01Gene41453,0.297695026,0.175500494,0.311156426,0.228458356,0.403558374,0.455551745,0.115769226,0,0,6.581147804,8.205745234,10.31728562,1.763944272,1.539356703,1.682940204
Aspi01Gene02189,0.239832916,0.133947452,0.184710005,1.482115632,1.129363917,0.622946919,1.030851325,1.116183771,1.247924121,3.333807957,3.714747904,3.84400565,1.106955557,1.682551444,2.037439087
Aspi01Gene66600,0.804337467,1.049974431,0.630531458,2.116347458,1.835823618,2.472685778,0.201082522,0.100269407,0.135236513,16.25287441,15.92956453,15.76599682,3.608522446,3.69703418,4.367913006
Aspi01Gene08586,6.834662058,6.555519709,6.463363008,34.99845286,30.34804976,35.26743011,11.83398225,13.03267246,13.8854343,114.7690132,122.2308165,123.9517342,28.25196489,30.32386261,30.1680599
Aspi01Gene24087,1.339997247,1.506454672,1.824024528,0.358725442,0.796610684,0.715307611,5.417070968,4.278429519,5.061371824,17.30212578,18.2280126,18.909095,8.235379018,9.704203978,9.258050109
Aspi01Gene70388,20.78484618,22.06410785,20.38947146,11.84386141,12.03537354,10.46120349,1.97373667,1.365828482,1.38160198,205.4760254,201.2830231,198.4372432,21.80824968,22.17774097,22.65497279
Aspi01Gene62280,7.717277147,7.105780071,7.504932145,9.524724686,9.267545773,7.6472375,2.923786948,2.63817832,2.504781549,58.18128154,54.08327271,53.94843203,8.061238226,9.279265059,9.538203593
Aspi01Gene42240,10.8106212,12.40739624,11.21932605,4.765977921,3.853058871,4.201770358,16.03369094,16.63708738,15.38542958,62.97632562,67.0843365,68.10726858,13.08390275,12.04797472,13.00318973
Aspi01Gene27834,0.995170474,1.257180011,1.04017085,0.572788402,0.660765606,0.734242224,0.165860224,0.082705877,0,3.42102444,3.630592701,2.746264733,1.516300331,1.143543415,1.330269976
